Player,Nation,POS,Age,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_PK,Standard_PKatt,Team
All Gue,HAI,MF,18,0.0,0,0,0,,0.0,0.0,,,,0,0,Las Vegas Lights
Patrick Seagrist,USA,DF,26,11.0,1,13,4,30.8,1.18,0.36,0.08,0.25,,0,0,FC Tulsa
Boubacar Diallo,USA,MF,21,10.4,2,12,6,50.0,1.16,0.58,0.17,0.33,,0,0,FC Tulsa
Blaine Ferri,USA,MF,23,8.9,0,8,2,25.0,0.89,0.22,0.0,0.0,,0,0,FC Tulsa
Justin Portillo,USA,MF,31,9.7,1,10,5,50.0,1.03,0.51,0.0,0.0,,1,1,FC Tulsa
Stefan Stojanovic,USA,FW,23,7.9,3,19,7,36.8,2.39,0.88,0.16,0.43,,0,0,FC Tulsa
Alexis Souahy,COM,DF,29,8.2,1,6,1,16.7,0.73,0.12,0.17,1.0,,0,0,FC Tulsa
Arthur Rogers, ENG,DF,27,6.7,0,2,1,50.0,0.3,0.15,0.0,0.0,,0,0,FC Tulsa
Bradley Bourgeois,USA,DF,30,7.4,0,5,3,60.0,0.67,0.4,0.0,0.0,,0,0,FC Tulsa
Michael Creek,USA,GK,26,7.0,0,1,0,0.0,0.14,0.0,0.0,,,0,0,FC Tulsa
Phillip Goodrum,USA,MF,26,6.8,2,17,7,41.2,2.49,1.02,0.12,0.29,,0,2,FC Tulsa
Rashid Tetteh,GHA,DF,28,6.3,0,0,0,,0.0,0.0,,,,0,0,FC Tulsa
Edwin Ramos,COL,MF,25,4.5,1,8,4,50.0,1.77,0.89,0.13,0.25,,0,0,FC Tulsa
Joey Roggeveen,SUR,GK,26,4.0,0,0,0,,0.0,0.0,,,,0,0,FC Tulsa
Alexander Dalou,USA,MF,23,4.8,0,8,2,25.0,1.67,0.42,0.0,0.0,,0,0,FC Tulsa
Milo Yosef,GER,MF,25,4.4,1,9,2,22.2,2.04,0.45,0.11,0.5,,0,0,FC Tulsa
Camilo Ponce,USA,MF,20,3.8,0,3,0,0.0,0.78,0.0,0.0,,,0,0,FC Tulsa
Harvey St Clair, SCO,MF,25,2.6,0,0,0,,0.0,0.0,,,,0,0,FC Tulsa
Owen Damm,USA,DF,20,2.2,0,1,1,100.0,0.46,0.46,0.0,0.0,,0,0,FC Tulsa
Sebastián Sánchez,USA,MF,20,0.9,0,0,0,,0.0,0.0,,,,0,0,FC Tulsa
Diogo Oliveira Pacheco,POR,FW,25,1.4,0,7,1,14.3,4.88,0.7,0.0,0.0,,0,0,FC Tulsa
Nathan Worth,USA,MF,17,0.5,0,2,0,0.0,3.83,0.0,0.0,,,0,0,FC Tulsa
Aaron Kačinari,SVN,MF,22,0.4,0,1,0,0.0,2.43,0.0,0.0,,,0,0,FC Tulsa
Santiago Sanchez,USA,MF,16,0.1,0,0,0,,0.0,0.0,,,,0,0,FC Tulsa
Tony Alfaro,USA,DF,30,12.7,0,2,0,0.0,0.16,0.0,0.0,,,0,0,El Paso Locomotive
Eric Calvillo,SLV,MF,26,12.7,1,16,7,43.8,1.26,0.55,0.06,0.14,,0,0,El Paso Locomotive
Liam Rose,AUS,MF,27,12.6,0,3,0,0.0,0.24,0.0,0.0,,,0,0,El Paso Locomotive
Lucas Stauffer,USA,MF,29,12.0,0,15,5,33.3,1.25,0.42,0.0,0.0,,0,0,El Paso Locomotive
Jahmali Waite,JAM,GK,25,12.0,0,0,0,,0.0,0.0,,,,0,0,El Paso Locomotive
Justin Dhillon,USA,FW,28,11.4,2,19,8,42.1,1.67,0.7,0.05,0.13,,1,1,El Paso Locomotive
Amando Moreno,SLV,FW,28,10.7,5,20,13,65.0,1.87,1.22,0.2,0.31,,1,1,El Paso Locomotive
Bolu Akinyode,NGA,DF,30,11.4,0,3,1,33.3,0.26,0.09,0.0,0.0,,0,0,El Paso Locomotive
Robinson Moshobane,RSA,MF,29,8.8,1,12,5,41.7,1.37,0.57,0.08,0.2,,0,0,El Paso Locomotive
Brandan Craig,USA,DF,20,5.8,0,2,0,0.0,0.34,0.0,0.0,,,0,0,El Paso Locomotive
Noah Dollenmayer,USA,DF,24,7.0,0,2,0,0.0,0.29,0.0,0.0,,,0,0,El Paso Locomotive
Miles Lyons,USA,DF,21,6.2,0,2,1,50.0,0.32,0.16,0.0,0.0,,0,0,El Paso Locomotive
Joaquin Rivas,SLV,MF,32,4.6,1,6,4,66.7,1.31,0.87,0.17,0.25,,0,0,El Paso Locomotive
Francisco Nevarez,MEX,MF,23,3.9,1,5,2,40.0,1.3,0.52,0.2,0.5,,0,0,El Paso Locomotive
Nick Hinds,USA,DF,26,3.7,0,1,0,0.0,0.27,0.0,0.0,,,0,0,El Paso Locomotive
Arun Basuljevic,USA,MF,28,3.2,0,1,0,0.0,0.31,0.0,0.0,,,0,0,El Paso Locomotive
Javier Garcia,USA,GK,26,1.0,0,0,0,,0.0,0.0,,,,0,0,El Paso Locomotive
Ricardo Zacarias,USA,FW,28,1.6,0,4,3,75.0,2.57,1.93,0.0,0.0,,0,0,El Paso Locomotive
Jeremy Garay,SLV,MF,21,0.6,0,0,0,,0.0,0.0,,,,0,0,El Paso Locomotive
Diego Abarca,USA,MF,18,0.5,0,3,1,33.3,6.14,2.05,0.0,0.0,,0,0,El Paso Locomotive
Petar Petrović,SRB,MF,28,0.3,0,2,0,0.0,6.67,0.0,0.0,,,0,0,El Paso Locomotive
Gonzalo Pelúa,URU,MF,20,0.3,0,1,0,0.0,3.91,0.0,0.0,,,0,0,El Paso Locomotive
Yuma,ESP,DF,38,0.2,0,0,0,,0.0,0.0,,,,0,0,El Paso Locomotive
Mario Rodriguez,USA,FW,20,0.1,0,0,0,,0.0,0.0,,,,0,0,El Paso Locomotive
