Player,Nation,POS,Age,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Team
Hernán López Muñoz,ARG,MF,23,6.2,3,16,4,25.0,2.57,0.64,0.19,0.75,24.1,0.0,0,0,2.1,2.1,0.13,0.9,0.9,San Jose Earthquakes
Benjamin Kikanovic,USA,FW,24,6.1,2,13,4,30.8,2.14,0.66,0.15,0.5,15.8,0.0,0,0,1.4,1.4,0.1,0.6,0.6,San Jose Earthquakes
Jack Skahan,USA,MF,26,5.0,1,15,8,53.3,3.01,1.6,0.07,0.13,17.6,0.0,0,0,1.9,1.9,0.13,-0.9,-0.9,San Jose Earthquakes
Preston Judd,USA,FW,25,4.9,1,11,5,45.5,2.24,1.02,0.09,0.2,14.6,0.0,0,0,1.1,1.1,0.1,-0.1,-0.1,San Jose Earthquakes
Alfredo Morales,USA,MF,34,4.2,0,3,1,33.3,0.72,0.24,0.0,0.0,9.2,0.0,0,0,0.2,0.2,0.05,-0.2,-0.2,San Jose Earthquakes
Daniel,BRA,GK,30,4.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,San Jose Earthquakes
Daniel Munie,USA,DF,24,1.9,0,2,0,0.0,1.07,0.0,0.0,,15.5,0.0,0,0,0.0,0.0,0.02,0.0,0.0,San Jose Earthquakes
Ousseni Bouda,BFA,FW,24,0.8,0,2,0,0.0,2.57,0.0,0.0,,17.0,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1,San Jose Earthquakes
Jamar Ricketts,USA,MF,22,0.4,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,San Jose Earthquakes
Tommy Thompson,USA,DF,28,0.1,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,San Jose Earthquakes
Michael Baldisimo,PHI,MF,24,0.1,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,San Jose Earthquakes
Nemanja Radoja,SRB,MF,31,16.7,1,10,4,40.0,0.6,0.24,0.1,0.25,16.8,0.0,0,0,1.1,1.1,0.11,-0.1,-0.1,Sporting Kansas City
Tim Melia,USA,GK,38,16.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Sporting Kansas City
Jake Davis,USA,DF,22,15.9,2,8,3,37.5,0.5,0.19,0.25,0.67,29.0,0.0,0,0,0.2,0.2,0.03,1.8,1.8,Sporting Kansas City
Dániel Sallói,HUN,FW,27,14.9,2,26,12,46.2,1.75,0.81,0.08,0.17,21.0,0.0,0,0,1.4,1.4,0.05,0.6,0.6,Sporting Kansas City
Erik Thommy,GER,MF,29,13.7,4,39,10,25.6,2.85,0.73,0.1,0.4,23.4,4.0,0,0,1.8,1.8,0.05,2.2,2.2,Sporting Kansas City
Tim Leibold,GER,DF,30,14.0,0,6,2,33.3,0.43,0.14,0.0,0.0,18.5,0.0,0,0,0.4,0.4,0.06,-0.4,-0.4,Sporting Kansas City
Alan Pulido,MEX,FW,33,13.3,3,21,8,38.1,1.58,0.6,0.14,0.38,18.9,0.0,0,0,2.1,2.1,0.1,0.9,0.9,Sporting Kansas City
Daniel Rosero,COL,DF,30,12.8,2,6,3,50.0,0.47,0.23,0.33,0.67,8.2,0.0,0,0,0.9,0.9,0.16,1.1,1.1,Sporting Kansas City
Andreu Fontàs,ESP,DF,34,12.0,0,2,0,0.0,0.17,0.0,0.0,,7.5,0.0,0,0,0.1,0.1,0.06,-0.1,-0.1,Sporting Kansas City
Memo Rodriguez,USA,MF,28,10.0,1,19,5,26.3,1.89,0.5,0.05,0.2,26.4,1.0,0,0,0.6,0.6,0.03,0.4,0.4,Sporting Kansas City
Johnny Russell, SCO,FW,34,10.4,3,24,7,29.2,2.31,0.67,0.13,0.43,18.8,4.0,0,0,1.6,1.6,0.07,1.4,1.4,Sporting Kansas City
