Player,Nation,POS,Age,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Team
Thiago Martins,BRA,DF,29,15.0,0,6,0,0.0,0.4,0.0,0.0,,10.9,0.0,0,0,0.3,0.3,0.05,-0.3,-0.3,New York City FC
Kevin O'Toole,USA,DF,25,14.5,1,11,2,18.2,0.76,0.14,0.09,0.5,16.5,0.0,0,0,0.8,0.8,0.07,0.2,0.2,New York City FC
Keaton Parks,USA,MF,26,14.2,2,11,4,36.4,0.78,0.28,0.18,0.5,16.0,0.0,0,0,0.8,0.8,0.08,1.2,1.2,New York City FC
James Sands,USA,MF,23,13.9,0,2,0,0.0,0.14,0.0,0.0,,27.2,0.0,0,0,0.0,0.0,0.02,0.0,0.0,New York City FC
Monsef Bakrar,ALG,FW,23,10.3,1,39,13,33.3,3.8,1.27,0.03,0.08,13.9,0.0,0,0,4.5,4.5,0.12,-3.5,-3.5,New York City FC
Mitja Ilenič,SVN,DF,19,10.2,0,10,1,10.0,0.98,0.1,0.0,0.0,23.5,0.0,0,0,0.3,0.3,0.03,-0.3,-0.3,New York City FC
Tayvon Gray,JAM,DF,21,7.5,0,2,2,100.0,0.27,0.27,0.0,0.0,22.9,0.0,0,0,0.1,0.1,0.04,-0.1,-0.1,New York City FC
Agustin Ojeda,ARG,FW,19,5.6,2,13,6,46.2,2.3,1.06,0.15,0.33,14.1,0.0,0,0,2.2,2.2,0.17,-0.2,-0.2,New York City FC
Andrés Perea,USA,MF,23,7.7,1,10,2,20.0,1.3,0.26,0.1,0.5,19.2,0.0,0,0,1.5,1.5,0.15,-0.5,-0.5,New York City FC
Julián Fernández,ARG,FW,20,5.4,2,14,7,50.0,2.6,1.3,0.14,0.29,19.8,0.0,0,0,1.4,1.4,0.1,0.6,0.6,New York City FC
Alonso Martínez,CRC,FW,25,5.1,6,19,10,52.6,3.75,1.97,0.32,0.6,15.1,0.0,0,0,3.5,3.5,0.18,2.5,2.5,New York City FC
Strahinja Tanasijević,SRB,DF,27,4.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,New York City FC
Malachi Jones,SLE,FW,20,4.0,1,15,4,26.7,3.78,1.01,0.07,0.25,13.7,0.0,0,0,1.9,1.9,0.13,-0.9,-0.9,New York City FC
Jovan Mijatović,SRB,FW,18,2.0,0,4,0,0.0,1.98,0.0,0.0,,15.9,0.0,0,0,0.7,0.7,0.18,-0.7,-0.7,New York City FC
Andres Jasson,USA,MF,22,1.7,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,New York City FC
Justin Haak,USA,DF,22,1.0,0,1,1,100.0,1.01,1.01,0.0,0.0,8.2,0.0,0,0,0.1,0.1,0.08,-0.1,-0.1,New York City FC
Maximiliano Moralez,ARG,FW,37,0.6,0,3,2,66.7,5.19,3.46,0.0,0.0,16.7,0.0,0,0,0.1,0.1,0.04,-0.1,-0.1,New York City FC
Christian McFarlane, ENG,DF,17,0.2,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,New York City FC
Talles Magno,BRA,MF,21,0.1,0,2,1,50.0,25.71,12.86,0.0,0.0,13.8,0.0,0,0,0.1,0.1,0.04,-0.1,-0.1,New York City FC
Diego Rossi,URU,MF,26,13.4,4,26,11,42.3,1.94,0.82,0.12,0.27,16.7,2.0,1,2,5.3,3.7,0.14,-1.3,-0.7,Columbus Crew
Patrick Schulte,USA,GK,23,13.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Columbus Crew
Aidan Morris,USA,MF,22,12.5,2,18,4,22.2,1.44,0.32,0.11,0.5,23.2,0.0,0,0,1.9,1.9,0.1,0.1,0.1,Columbus Crew
Darlington Nagbe,USA,MF,33,12.4,0,3,1,33.3,0.24,0.08,0.0,0.0,26.2,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1,Columbus Crew
Malte Amundsen,DEN,DF,26,12.5,0,2,0,0.0,0.16,0.0,0.0,,15.8,0.0,0,0,0.1,0.1,0.05,-0.1,-0.1,Columbus Crew
Rudy Camacho,FRA,DF,33,10.6,0,5,1,20.0,0.47,0.09,0.0,0.0,13.1,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1,Columbus Crew
Steven Moreira,CPV,DF,29,10.5,1,3,1,33.3,0.29,0.1,0.33,1.0,22.9,0.0,0,0,0.1,0.1,0.04,0.9,0.9,Columbus Crew
Sean Zawadzki,USA,DF,24,9.2,1,7,2,28.6,0.76,0.22,0.14,0.5,16.5,0.0,0,0,0.3,0.3,0.05,0.7,0.7,Columbus Crew
Cucho,COL,FW,25,9.0,5,43,14,32.6,4.8,1.56,0.09,0.29,19.0,5.0,1,2,5.2,3.6,0.08,-0.2,0.4,Columbus Crew
Yaw Yeboah,GHA,DF,27,8.9,0,12,2,16.7,1.35,0.22,0.0,0.0,17.8,1.0,0,0,0.9,0.9,0.07,-0.9,-0.9,Columbus Crew
Maximilian Arfsten,USA,DF,23,7.9,2,18,7,38.9,2.27,0.88,0.11,0.29,15.5,1.0,0,0,1.8,1.8,0.1,0.2,0.2,Columbus Crew
Jacen Russell-Rowe,CAN,FW,21,8.0,3,23,9,39.1,2.88,1.13,0.13,0.33,15.9,0.0,0,0,1.9,1.9,0.08,1.1,1.1,Columbus Crew
Mohamed Farsi,CAN,DF,24,7.9,2,5,3,60.0,0.63,0.38,0.4,0.67,10.1,0.0,0,0,1.4,1.4,0.28,0.6,0.6,Columbus Crew
Yevhen Cheberko,UKR,DF,26,7.7,0,3,0,0.0,0.39,0.0,0.0,,17.3,0.0,0,0,0.3,0.3,0.09,-0.3,-0.3,Columbus Crew
Alexandru Mățan,ROU,MF,24,5.3,0,3,2,66.7,0.56,0.37,0.0,0.0,10.8,0.0,0,0,0.6,0.6,0.19,-0.6,-0.6,Columbus Crew
Christian Ramirez,USA,FW,33,4.1,2,12,7,58.3,2.93,1.71,0.17,0.29,16.1,0.0,0,0,1.7,1.7,0.14,0.3,0.3,Columbus Crew
Marino Hinestroza,COL,MF,21,3.3,2,9,3,33.3,2.73,0.91,0.22,0.67,13.1,0.0,0,0,1.8,1.8,0.2,0.2,0.2,Columbus Crew
William Sands,USA,DF,23,2.8,0,2,2,100.0,0.7,0.7,0.0,0.0,13.9,0.0,0,0,0.1,0.1,0.05,-0.1,-0.1,Columbus Crew
Evan Bush,USA,GK,38,1.4,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Columbus Crew
Derrick Jones,USA,MF,27,1.3,0,1,0,0.0,0.78,0.0,0.0,,31.6,0.0,0,0,0.0,0.0,0.03,0.0,0.0,Columbus Crew
Philip Quinton,USA,DF,24,1.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Columbus Crew
Taha Habroune,USA,MF,18,0.8,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Columbus Crew
Nicholas Hagen,GUA,GK,27,0.6,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Columbus Crew
Cole Mrowka,USA,MF,18,0.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Columbus Crew
Frankie Amaya,USA,MF,23,16.6,1,20,9,45.0,1.2,0.54,0.05,0.11,26.4,0.0,0,0,0.9,0.9,0.04,0.1,0.1,New York Red Bulls
Carlos Coronel,PAR,GK,27,15.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,New York Red Bulls
Sean Nealis,USA,DF,27,14.7,0,9,3,33.3,0.61,0.2,0.0,0.0,10.9,0.0,0,0,0.6,0.6,0.07,-0.6,-0.6,New York Red Bulls
Lewis Morgan, SCO,FW,27,14.4,9,44,19,43.2,3.05,1.32,0.18,0.42,17.5,0.0,1,2,6.6,5.0,0.11,2.4,3.0,New York Red Bulls
Daniel Edelman,USA,MF,21,14.0,0,5,0,0.0,0.36,0.0,0.0,,25.8,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1,New York Red Bulls
John Tolkin,USA,DF,21,13.6,1,5,3,60.0,0.37,0.22,0.2,0.33,28.7,3.0,0,0,0.2,0.2,0.04,0.8,0.8,New York Red Bulls
Dante Vanzeir,BEL,FW,26,11.4,2,22,5,22.7,1.92,0.44,0.09,0.4,15.0,1.0,0,0,3.3,3.3,0.15,-1.3,-1.3,New York Red Bulls
Dylan Nealis,USA,DF,25,13.2,0,10,1,10.0,0.76,0.08,0.0,0.0,16.7,0.0,0,0,0.5,0.5,0.05,-0.5,-0.5,New York Red Bulls
Noah Eile,SWE,DF,21,12.9,0,5,2,40.0,0.39,0.16,0.0,0.0,16.2,0.0,0,0,0.1,0.1,0.02,-0.1,-0.1,New York Red Bulls
Emil Forsberg,SWE,MF,32,12.6,6,33,12,36.4,2.62,0.95,0.09,0.25,24.2,11.0,3,3,4.6,2.2,0.07,1.4,0.8,New York Red Bulls
Wikelman Carmona,VEN,MF,21,11.6,1,23,7,30.4,1.99,0.61,0.04,0.14,22.8,0.0,0,0,1.5,1.5,0.06,-0.5,-0.5,New York Red Bulls
Kyle Duncan,USA,DF,26,9.3,0,7,2,28.6,0.76,0.22,0.0,0.0,23.5,0.0,0,0,0.3,0.3,0.04,-0.3,-0.3,New York Red Bulls
Elias Manoel,BRA,FW,22,9.0,3,26,12,46.2,2.87,1.33,0.12,0.25,18.1,0.0,0,0,3.4,3.4,0.13,-0.4,-0.4,New York Red Bulls
Andrés Reyes,COL,DF,24,7.4,1,1,1,100.0,0.13,0.13,1.0,1.0,8.2,0.0,0,0,0.1,0.1,0.07,0.9,0.9,New York Red Bulls
Peter Stroud,USA,MF,22,6.7,0,1,1,100.0,0.15,0.15,0.0,0.0,8.2,0.0,0,0,0.1,0.1,0.06,-0.1,-0.1,New York Red Bulls
Cameron Harper,USA,MF,22,4.7,3,12,7,58.3,2.53,1.48,0.25,0.43,16.1,0.0,0,0,1.8,1.8,0.15,1.2,1.2,New York Red Bulls
Dennis Gjengaar,NOR,MF,20,4.4,0,6,1,16.7,1.36,0.23,0.0,0.0,14.6,0.0,0,0,0.7,0.7,0.11,-0.7,-0.7,New York Red Bulls
Ryan Meara,USA,GK,33,3.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,New York Red Bulls
Cory Burke,JAM,FW,32,1.4,1,6,3,50.0,4.32,2.16,0.17,0.33,14.9,0.0,0,0,1.1,1.1,0.19,-0.1,-0.1,New York Red Bulls
Julian Hall,USA,FW,16,0.3,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,New York Red Bulls
Mohammed Sofo,GHA,MF,19,0.3,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,New York Red Bulls
Roald Mitchell,USA,FW,21,0.2,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,New York Red Bulls
Aidan O'Connor,USA,DF,22,0.2,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,New York Red Bulls
Serge Ngoma,USA,MF,18,0.2,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,New York Red Bulls
Ronald Donkor,MLI,FW,19,0.1,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,New York Red Bulls
Omar Valencia,PAN,MF,20,0.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,New York Red Bulls
Federico Bernardeschi,ITA,DF,30,14.9,7,58,22,37.9,3.9,1.48,0.12,0.32,20.3,4.0,0,2,5.3,3.6,0.06,1.7,3.4,Toronto FC
Deybi Flores,HON,MF,28,14.2,1,11,4,36.4,0.78,0.28,0.09,0.25,20.3,0.0,0,0,0.6,0.6,0.05,0.4,0.4,Toronto FC
Kevin Long,IRL,DF,33,13.5,0,4,1,25.0,0.3,0.07,0.0,0.0,10.7,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1,Toronto FC
Alonso Coello,ESP,MF,24,11.6,0,4,2,50.0,0.35,0.17,0.0,0.0,16.9,0.0,0,0,0.2,0.2,0.05,-0.2,-0.2,Toronto FC
Jonathan Osorio,CAN,MF,32,13.1,1,9,4,44.4,0.69,0.31,0.11,0.25,17.2,0.0,0,0,1.4,1.4,0.15,-0.4,-0.4,Toronto FC
Nicksoen Gomis,FRA,DF,22,12.9,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Toronto FC
Raoul Petretta,ITA,DF,27,10.9,1,7,2,28.6,0.64,0.18,0.14,0.5,15.8,0.0,0,0,0.7,0.7,0.1,0.3,0.3,Toronto FC
