Player,Nation,POS,Age,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Unnamed: 17_level_0_Int,Unnamed: 18_level_0_Tkl+Int,Clr,Err,Unnamed: 21_level_0_Matches,Team
Tyler Boyd,USA,FW,29,11.3,13,11,4,6,3,9,19,47.4,10,10,1,9,5,18,6,0,Matches,Nashville SC
Aníbal Godoy,PAN,MF,34,10.6,24,15,9,15,0,12,21,57.1,9,10,3,7,25,49,4,1,Matches,Nashville SC
Jacob Shaffelburg,CAN,DF,24,10.0,10,6,2,7,1,3,12,25.0,9,19,1,18,6,16,8,0,Matches,Nashville SC
Shaquell Moore,USA,DF,27,8.0,20,15,13,7,0,14,22,63.6,8,5,3,2,2,22,21,0,Matches,Nashville SC
Brian Anunga,CMR,MF,27,8.6,28,14,14,11,3,12,19,63.2,7,14,4,10,14,42,7,0,Matches,Nashville SC
Teal Bunbury,USA,FW,34,7.5,2,0,1,1,0,1,6,16.7,5,3,1,2,0,2,5,0,Matches,Nashville SC
Taylor Washington,USA,DF,30,5.4,7,6,3,2,2,6,10,60.0,4,5,2,3,4,11,16,0,Matches,Nashville SC
Lukas MacNaughton,CAN,DF,29,4.6,6,4,6,0,0,2,5,40.0,3,5,4,1,4,10,24,0,Matches,Nashville SC
Brent Kallman,USA,DF,33,4.6,5,2,3,2,0,3,5,60.0,2,10,6,4,9,14,26,0,Matches,Nashville SC
Elliot Panicco,USA,GK,27,3.8,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,Matches,Nashville SC
Amar Sejdic,USA,MF,27,2.5,7,4,3,4,0,4,7,57.1,3,2,1,1,4,11,2,1,Matches,Nashville SC
McKinze Gaines,USA,MF,26,1.4,1,1,0,1,0,0,2,0.0,2,0,0,0,0,1,0,0,Matches,Nashville SC
Forster Ajago,GHA,FW,22,1.3,1,1,0,1,0,0,0,,0,3,0,3,1,2,0,0,Matches,Nashville SC
Randall Leal,CRC,MF,27,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,Nashville SC
Joseph Skinner,USA,FW,21,0.0,1,0,0,1,0,0,1,0.0,1,1,0,1,0,1,0,0,Matches,Nashville SC
Brooks Lennon,USA,DF,26,21.0,38,23,19,14,5,23,34,67.6,11,19,8,11,21,59,61,0,Matches,Atlanta United
Caleb Wiley,USA,DF,19,19.9,30,22,23,6,1,20,35,57.1,15,30,9,21,24,54,57,0,Matches,Atlanta United
Tristan Muyumba,,MF,27,18.2,59,42,27,27,5,30,48,62.5,18,17,5,12,15,74,17,0,Matches,Atlanta United
Brad Guzan,USA,GK,39,18.7,0,0,0,0,0,0,0,,0,0,0,0,1,1,10,1,Matches,Atlanta United
Thiago Almada,ARG,MF,23,15.5,18,9,9,5,4,7,20,35.0,13,5,0,5,1,19,5,1,Matches,Atlanta United
Saba Lobzhanidze,GEO,FW,29,14.8,13,11,5,4,4,6,15,40.0,9,18,4,14,4,17,3,0,Matches,Atlanta United
Bartosz Slisz,POL,MF,25,13.9,29,14,14,14,1,12,26,46.2,14,19,9,10,21,50,19,1,Matches,Atlanta United
Noah Cobb,USA,DF,18,12.5,17,13,11,6,0,13,18,72.2,5,21,14,7,7,24,53,0,Matches,Atlanta United
Derrick Williams,IRL,DF,31,12.5,15,8,7,8,0,7,14,50.0,7,21,16,5,13,28,56,2,Matches,Atlanta United
Xande Silva,POR,FW,27,10.8,19,15,5,7,7,10,18,55.6,8,11,0,11,3,22,7,0,Matches,Atlanta United
Luis Abram,PER,DF,28,10.5,8,5,4,1,3,3,8,37.5,5,8,6,2,7,15,44,1,Matches,Atlanta United
Stian Rode Gregersen,NOR,DF,29,9.1,22,18,21,1,0,11,16,68.8,5,22,14,8,10,32,43,0,Matches,Atlanta United
Daniel Armando Ríos,MEX,FW,29,8.1,8,6,2,5,1,3,8,37.5,5,7,2,5,0,8,9,0,Matches,Atlanta United
Giorgos Giakoumakis,GRE,FW,29,8.0,9,7,0,7,2,6,8,75.0,2,6,1,5,3,12,10,0,Matches,Atlanta United
Jamal Thiaré,SEN,FW,31,6.8,3,3,0,3,0,1,5,20.0,4,3,1,2,0,3,8,0,Matches,Atlanta United
Dax McCarty,USA,MF,37,6.3,20,10,11,8,1,12,16,75.0,4,2,0,2,10,30,6,0,Matches,Atlanta United
Ajani Fortune,TRI,MF,21,5.4,10,6,3,5,2,5,10,50.0,5,3,2,1,9,19,7,0,Matches,Atlanta United
Edwin Mosquera,COL,FW,23,4.5,8,6,3,4,1,2,7,28.6,5,2,0,2,4,12,1,1,Matches,Atlanta United
Tyler Wolff,USA,FW,21,3.4,10,8,4,4,2,6,14,42.9,8,9,0,9,4,14,2,0,Matches,Atlanta United
Efrain Morales,BOL,DF,20,2.7,3,1,2,1,0,2,3,66.7,1,2,2,0,3,6,15,0,Matches,Atlanta United
Ronald Hernández,VEN,DF,26,2.5,3,1,3,0,0,3,4,75.0,1,2,1,1,3,6,5,0,Matches,Atlanta United
Josh Cohen,USA,GK,31,2.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,Atlanta United
Nicolas Firmino,USA,FW,23,1.8,1,1,0,1,0,1,1,100.0,0,2,0,2,1,2,0,0,Matches,Atlanta United
Luke Brennan,USA,FW,19,0.9,0,0,0,0,0,0,1,0.0,1,2,0,2,0,0,0,0,Matches,Atlanta United
Derrick Etienne,HAI,FW,27,0.3,1,1,1,0,0,1,1,100.0,0,0,0,0,2,3,0,0,Matches,Atlanta United
Ruan,BRA,DF,29,19.2,18,14,10,5,3,4,16,25.0,12,16,3,13,10,28,31,1,Matches,CF Montréal
Jonathan Sirois,CAN,GK,23,20.0,2,1,2,0,0,2,2,100.0,0,0,0,0,0,2,16,3,Matches,CF Montréal
Bryce Duke,USA,MF,23,15.6,25,18,8,15,2,10,23,43.5,13,20,1,19,13,38,12,1,Matches,CF Montréal
Joel Waterman,CAN,DF,28,15.6,16,10,11,3,2,10,13,76.9,3,27,21,6,30,46,69,0,Matches,CF Montréal
Ariel Lassiter,CRC,DF,29,14.4,9,5,7,2,0,4,12,33.3,8,6,1,5,3,12,15,0,Matches,CF Montréal
Mathieu Choiniere,CAN,MF,25,14.6,29,19,12,13,4,13,26,50.0,13,18,4,14,7,36,18,1,Matches,CF Montréal
Samuel Piette,CAN,MF,29,14.1,31,22,11,15,5,20,36,55.6,16,20,6,14,16,47,16,0,Matches,CF Montréal
George Campbell,USA,DF,23,13.7,17,15,12,4,1,11,16,68.8,5,22,10,12,21,38,49,3,Matches,CF Montréal
Gabriele Corbo,ITA,DF,24,13.9,13,8,6,6,1,8,14,57.1,6,21,16,5,10,23,66,0,Matches,CF Montréal
Fernando Álvarez,COL,DF,20,12.7,19,13,12,7,0,14,17,82.4,3,16,8,8,16,35,49,0,Matches,CF Montréal
Joaquin Sosa,URU,DF,22,10.3,29,19,15,11,3,20,28,71.4,8,14,4,10,15,44,33,0,Matches,CF Montréal
Sunusi Ibrahim,NGA,FW,21,9.4,4,2,0,3,1,1,5,20.0,4,5,2,3,4,8,18,0,Matches,CF Montréal
Raheem Edwards,CAN,DF,28,8.2,25,18,15,4,6,10,18,55.6,8,11,0,11,13,38,14,0,Matches,CF Montréal
Nathan-Dylan Saliba,CAN,MF,19,7.3,21,12,9,11,1,11,19,57.9,8,9,4,5,4,25,19,0,Matches,CF Montréal
Jules-Anthony Vilsaint,CAN,MF,21,6.3,4,0,0,4,0,2,4,50.0,2,5,1,4,1,5,4,0,Matches,CF Montréal
Matías Cóccaro,URU,FW,26,6.1,3,1,1,2,0,2,3,66.7,1,13,3,10,3,6,6,0,Matches,CF Montréal
Dominik Yankov,BUL,MF,23,6.8,10,3,3,4,3,4,13,30.8,9,8,0,8,2,12,2,0,Matches,CF Montréal
Mason Toye,USA,FW,25,4.5,0,0,0,0,0,0,3,0.0,3,3,0,3,2,2,4,0,Matches,CF Montréal
Josef Martínez,VEN,FW,31,6.4,2,1,2,0,0,1,3,33.3,2,3,1,2,1,3,5,0,Matches,CF Montréal
Kwadwo Opoku,GHA,MF,22,2.5,0,0,0,0,0,0,4,0.0,4,0,0,0,1,1,1,0,Matches,CF Montréal
Victor Wanyama,KEN,MF,33,3.1,5,5,1,4,0,3,10,30.0,7,4,2,2,5,10,7,0,Matches,CF Montréal
Rida Zouhir,CAN,MF,20,2.0,5,3,1,2,2,2,3,66.7,1,2,0,2,2,7,0,0,Matches,CF Montréal
Sebastian Breza,CAN,GK,26,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches,CF Montréal
Lassi Lappalainen,FIN,DF,25,2.1,11,5,9,2,0,8,10,80.0,2,9,2,7,3,14,5,0,Matches,CF Montréal
Alessandro Biello,CAN,MF,18,0.2,1,1,0,1,0,1,1,100.0,0,0,0,0,1,2,0,0,Matches,CF Montréal
Ousman jabang,USA,DF,23,0.0,2,2,2,0,0,1,1,100.0,0,1,0,1,0,2,0,0,Matches,CF Montréal
Hugo Cuypers,BEL,FW,27,19.4,22,16,3,13,6,6,33,18.2,27,30,2,28,6,28,20,0,Matches,Chicago Fire
Christopher Brady,USA,GK,20,20.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,14,3,Matches,Chicago Fire
Allan Arigoni,SUI,DF,25,17.4,33,24,16,11,6,19,30,63.3,11,26,5,21,14,47,35,0,Matches,Chicago Fire
Rafael Czichos,GER,DF,34,17.8,37,23,28,8,1,25,35,71.4,10,31,14,17,13,50,63,3,Matches,Chicago Fire
Fabian Herbers,GER,MF,30,17.6,46,29,11,28,7,14,38,36.8,24,23,5,18,25,71,13,1,Matches,Chicago Fire
Kellyn Acosta,USA,MF,28,16.3,27,19,10,15,2,12,29,41.4,17,13,1,12,25,52,7,1,Matches,Chicago Fire
Brian Gutiérrez,USA,MF,21,16.3,34,11,9,21,4,15,31,48.4,16,13,0,13,14,48,7,0,Matches,Chicago Fire
Maren Haile-Selassie,SUI,FW,25,12.9,6,5,3,2,1,3,15,20.0,12,7,1,6,6,12,4,0,Matches,Chicago Fire
Carlos Terán,COL,DF,23,11.1,26,19,15,10,1,14,16,87.5,2,16,9,7,22,48,35,1,Matches,Chicago Fire
Mauricio Pineda,USA,DF,26,10.9,12,7,9,3,0,8,16,50.0,8,15,5,10,6,18,25,1,Matches,Chicago Fire
Xherdan Shaqiri,SUI,MF,32,8.2,3,1,1,2,0,2,6,33.3,4,2,0,2,1,4,1,0,Matches,Chicago Fire
Arnaud Souquet,FRA,DF,32,9.4,18,13,14,4,0,8,16,50.0,8,13,2,11,11,29,22,0,Matches,Chicago Fire
Jonathan Dean,USA,DF,27,8.3,15,9,7,7,1,6,13,46.2,7,11,4,7,9,24,26,0,Matches,Chicago Fire
Chris Mueller,USA,FW,27,8.2,10,8,5,3,2,7,16,43.8,9,8,0,8,7,17,7,0,Matches,Chicago Fire
Andrew Gutman,USA,DF,27,5.7,13,8,6,6,1,5,9,55.6,4,5,2,3,7,20,11,1,Matches,Chicago Fire
Gastón Giménez,PAR,MF,32,7.3,22,16,11,9,2,7,13,53.8,6,11,4,7,20,42,13,0,Matches,Chicago Fire
Tobias Salquist,DEN,DF,29,5.0,3,2,2,1,0,3,4,75.0,1,5,5,0,5,8,32,0,Matches,Chicago Fire
Federico Navarro,ARG,MF,24,4.8,20,13,11,7,2,8,11,72.7,3,4,3,1,11,31,12,1,Matches,Chicago Fire
Georgios Koutsias,GRE,FW,20,4.8,9,6,2,5,2,3,9,33.3,6,1,0,1,1,10,2,0,Matches,Chicago Fire
Tom Barlow,USA,FW,28,4.3,4,3,0,3,1,3,8,37.5,5,4,1,3,3,7,5,0,Matches,Chicago Fire
Chase Gasper,USA,DF,28,2.7,2,1,2,0,0,2,2,100.0,0,3,0,3,7,9,14,0,Matches,Chicago Fire
Wyatt Omsberg,USA,DF,28,1.2,1,0,1,0,0,0,0,,0,3,3,0,3,4,5,0,Matches,Chicago Fire
Spencer Richey,USA,GK,32,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1,Matches,Chicago Fire
Omari Glasgow,GUY,MF,20,0.4,1,1,0,1,0,1,1,100.0,0,2,1,1,0,1,0,0,Matches,Chicago Fire
Javier Casas,USA,MF,21,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,Chicago Fire
Carles Gil,ESP,MF,31,17.0,8,5,2,5,1,2,12,16.7,10,8,0,8,4,12,3,0,Matches,New England Revolution
Matt Polster,USA,MF,31,16.3,27,15,12,14,1,11,23,47.8,12,14,8,6,24,51,17,0,Matches,New England Revolution
Nick Lima,USA,DF,29,16.0,22,16,15,6,1,17,31,54.8,14,15,5,10,15,37,40,0,Matches,New England Revolution
Giacomo Vrioni,ALB,FW,25,15.7,9,7,2,3,4,3,7,42.9,4,6,0,6,1,10,2,0,Matches,New England Revolution
DeJuan Jones,USA,DF,27,13.7,26,20,16,8,2,12,24,50.0,12,23,6,17,18,44,40,0,Matches,New England Revolution
Henry Kessler,USA,DF,26,13.0,14,11,12,2,0,6,10,60.0,4,23,16,7,10,24,50,0,Matches,New England Revolution
Esmir Bajraktarevic,USA,FW,19,12.4,23,14,7,12,4,5,19,26.3,14,11,0,11,3,26,5,0,Matches,New England Revolution
David Romney,USA,DF,31,11.6,14,3,8,6,0,7,12,58.3,5,24,13,11,5,19,76,0,Matches,New England Revolution
Xavier Arreaga,ECU,DF,29,10.9,28,17,21,7,0,20,24,83.3,4,15,4,11,17,45,59,0,Matches,New England Revolution
Tomás Chancalay,ARG,FW,25,10.3,10,4,3,5,2,4,20,20.0,16,10,0,10,1,11,2,1,Matches,New England Revolution
Aljaž Ivačič,SVN,GK,30,10.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,6,0,Matches,New England Revolution
Ian Harkes,USA,MF,29,9.7,17,12,8,7,2,10,14,71.4,4,10,3,7,12,29,11,0,Matches,New England Revolution
Mark-Anthony Kaye,CAN,MF,29,9.3,34,22,16,16,2,17,32,53.1,15,22,4,18,9,43,11,1,Matches,New England Revolution
Henrich Ravas,SVK,GK,26,8.0,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,1,2,Matches,New England Revolution
Dylan Borrero,COL,FW,22,5.6,3,3,1,0,2,1,4,25.0,3,4,0,4,8,11,4,0,Matches,New England Revolution
Noel Buck, ENG,MF,19,5.0,10,4,4,5,1,4,5,80.0,1,7,3,4,3,13,4,0,Matches,New England Revolution
Nacho Gil,ESP,FW,28,5.2,9,5,5,2,2,2,7,28.6,5,5,1,4,6,15,3,0,Matches,New England Revolution
Andrew Farrell,USA,DF,32,5.1,7,6,6,1,0,5,7,71.4,2,6,5,1,3,10,11,0,Matches,New England Revolution
Emmanuel Boateng,GHA,FW,30,4.2,7,3,2,3,2,1,2,50.0,1,8,1,7,4,11,1,0,Matches,New England Revolution
Ryan Spaulding,USA,DF,25,3.8,12,5,5,4,3,5,6,83.3,1,8,2,6,5,17,11,0,Matches,New England Revolution
Jonathan Mensah,GHA,DF,33,1.9,2,2,2,0,0,2,2,100.0,0,7,7,0,0,2,10,0,Matches,New England Revolution
Earl Edwards Jr.,USA,GK,32,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1,Matches,New England Revolution
Bobby Wood,USA,FW,31,0.6,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches,New England Revolution
Brandon Bye,USA,DF,28,0.6,1,1,0,1,0,0,2,0.0,2,1,0,1,0,1,2,0,Matches,New England Revolution
Jack Panayotou,USA,FW,20,0.3,1,0,0,1,0,1,1,100.0,0,2,0,2,0,1,0,0,Matches,New England Revolution
Thomas McNamara,USA,MF,33,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,New England Revolution
Emeka Eneli,USA,MF,24,19.3,39,24,13,22,4,17,37,45.9,20,28,4,24,34,73,14,0,Matches,Real Salt Lake
Cristian Arango,COL,FW,29,18.6,15,10,3,8,4,5,16,31.3,11,15,0,15,3,18,3,0,Matches,Real Salt Lake
Braian Ojeda,PAR,MF,24,18.6,29,21,9,16,4,11,26,42.3,15,13,2,11,20,49,24,2,Matches,Real Salt Lake
Carlos Gómez,COL,FW,21,17.4,33,21,10,15,8,11,35,31.4,24,23,4,19,6,39,11,0,Matches,Real Salt Lake
Andrew Brody,USA,DF,29,17.8,13,11,10,3,0,7,18,38.9,11,16,8,8,19,32,40,1,Matches,Real Salt Lake
Zac MacMath,USA,GK,32,16.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,7,5,Matches,Real Salt Lake
Diego Luna,USA,FW,20,14.9,26,16,5,16,5,9,15,60.0,6,13,2,11,7,33,6,0,Matches,Real Salt Lake
Brayan Vera,COL,DF,25,15.0,20,10,11,9,0,7,10,70.0,3,25,18,7,7,27,52,0,Matches,Real Salt Lake
Justen Glad,USA,DF,27,15.0,12,7,7,5,0,6,14,42.9,8,29,20,9,22,34,42,1,Matches,Real Salt Lake
Alexandros Katranis,GRE,DF,26,13.2,26,15,13,11,2,10,26,38.5,16,24,6,18,17,43,18,0,Matches,Real Salt Lake
Matt Crooks, ENG,MF,30,11.9,19,15,4,14,1,10,22,45.5,12,18,0,18,5,24,16,0,Matches,Real Salt Lake
Bode Davis,USA,DF,22,11.1,21,19,14,7,0,13,21,61.9,8,10,4,6,12,33,30,0,Matches,Real Salt Lake
Anderson Julio,ECU,FW,28,8.7,5,4,0,1,4,2,13,15.4,11,9,0,9,5,10,6,0,Matches,Real Salt Lake
Fidel Barajas,MEX,FW,18,6.3,5,3,2,1,2,1,4,25.0,3,2,0,2,1,6,2,0,Matches,Real Salt Lake
Bryan Oviedo,CRC,DF,34,5.7,7,6,5,2,0,3,6,50.0,3,6,3,3,10,17,9,0,Matches,Real Salt Lake
Philip Quinton,USA,DF,24,5.2,12,9,6,6,0,8,12,66.7,4,20,8,12,4,16,27,1,Matches,Real Salt Lake
Gavin Beavers,USA,GK,19,5.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,0,Matches,Real Salt Lake
Nelson Palacio,COL,MF,23,3.9,6,3,4,2,0,3,8,37.5,5,4,0,4,6,12,9,0,Matches,Real Salt Lake
Marcelo Silva,URU,DF,35,2.0,2,2,2,0,0,1,3,33.3,2,2,2,0,2,4,16,0,Matches,Real Salt Lake
Pablo Ruíz,ARG,MF,25,1.9,0,0,0,0,0,0,2,0.0,2,2,0,2,1,1,0,0,Matches,Real Salt Lake
Maikel Chang,CUB,MF,33,1.9,5,4,2,3,0,2,3,66.7,1,6,0,6,1,6,3,0,Matches,Real Salt Lake
Noel Caliskan,GER,MF,23,1.4,3,2,0,2,1,2,2,100.0,0,1,0,1,2,5,1,0,Matches,Real Salt Lake
Tommy Silva,USA,DF,22,0.2,0,0,0,0,0,0,0,,0,0,0,0,2,2,3,0,Matches,Real Salt Lake
Zavier Gozo,USA,FW,17,0.1,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0,Matches,Real Salt Lake
Hugo Lloris,FRA,GK,37,21.0,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,8,1,Matches,Los Angeles FC
Denis Bouanga,GAB,FW,29,20.9,20,13,5,4,11,7,20,35.0,13,19,0,19,4,24,9,0,Matches,Los Angeles FC
Timmy Tillman,GER,MF,25,20.3,58,42,19,24,15,28,51,54.9,23,21,5,16,22,80,17,0,Matches,Los Angeles FC
Mateusz Bogusz,POL,FW,22,19.6,23,14,9,8,6,8,24,33.3,16,4,0,4,6,29,6,0,Matches,Los Angeles FC
Eduard Atuesta,COL,MF,27,17.8,31,15,18,10,3,17,43,39.5,26,16,3,13,23,54,11,0,Matches,Los Angeles FC
Aaron Long,USA,DF,31,17.5,22,15,15,7,0,12,17,70.6,5,29,22,7,20,42,85,0,Matches,Los Angeles FC
Jesús David Murillo Largacha,COL,DF,30,16.8,31,19,25,6,0,19,31,61.3,12,22,15,7,23,54,69,1,Matches,Los Angeles FC
Sergi Palencia,ESP,DF,28,16.4,53,33,26,23,4,30,37,81.1,7,25,6,19,18,71,26,0,Matches,Los Angeles FC
Ilie Sánchez,ESP,MF,33,16.4,30,20,14,11,5,17,31,54.8,14,23,12,11,29,59,34,0,Matches,Los Angeles FC
Ryan Hollingshead,USA,DF,33,15.6,50,39,32,13,5,31,43,72.1,12,21,5,16,27,77,37,0,Matches,Los Angeles FC
Cristian Olivera,URU,FW,22,15.0,24,18,7,9,8,11,37,29.7,26,15,1,14,4,28,5,0,Matches,Los Angeles FC
Omar Campos,MEX,DF,21,9.7,15,8,12,3,0,12,27,44.4,15,5,0,5,10,25,20,0,Matches,Los Angeles FC
Maxime Chanot,LUX,DF,34,6.7,10,7,7,3,0,5,8,62.5,3,7,5,2,13,23,42,0,Matches,Los Angeles FC
Kei Kamara,SLE,FW,39,6.3,5,4,2,2,1,3,6,50.0,3,3,3,0,0,5,12,0,Matches,Los Angeles FC
Eddie Segura,COL,DF,27,4.5,2,0,1,1,0,1,5,20.0,4,5,2,3,8,10,13,1,Matches,Los Angeles FC
Erik Duenas,USA,MF,19,2.8,12,7,5,6,1,8,15,53.3,7,1,0,1,3,15,2,0,Matches,Los Angeles FC
Nathan Ordaz,SLV,FW,20,1.9,2,1,1,0,1,1,2,50.0,1,2,0,2,0,2,1,0,Matches,Los Angeles FC
David Martínez,VEN,FW,18,1.2,1,1,0,0,1,0,1,0.0,1,1,0,1,0,1,3,0,Matches,Los Angeles FC
Tomas Ángel,COL,FW,21,0.5,1,1,0,0,1,0,2,0.0,2,0,0,0,0,1,0,0,Matches,Los Angeles FC
Luis Müller,GER,FW,23,0.1,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,Matches,Los Angeles FC
Michael Boxall,NZL,DF,35,20.5,21,10,13,5,3,13,17,76.5,4,24,14,10,22,43,103,1,Matches,Minnesota United
Wil Trapp,USA,MF,31,17.3,37,21,13,20,4,17,34,50.0,17,15,7,8,19,56,21,0,Matches,Minnesota United
Jeong Sangbin,KOR,FW,22,16.2,11,9,5,3,3,5,16,31.3,11,13,0,13,6,17,8,1,Matches,Minnesota United
Robin Lod,FIN,MF,31,15.3,27,19,7,14,6,12,22,54.5,10,8,1,7,9,36,12,0,Matches,Minnesota United
Joseph Rosales,HON,DF,23,15.9,41,23,24,12,5,21,33,63.6,12,18,4,14,40,81,31,0,Matches,Minnesota United
D.J. Taylor,USA,DF,26,15.5,37,26,23,10,4,24,37,64.9,13,10,1,9,32,69,50,0,Matches,Minnesota United
Dayne St. Clair,CAN,GK,27,15.0,2,1,2,0,0,2,4,50.0,2,1,0,1,0,2,11,1,Matches,Minnesota United
Miguel Tapias,MEX,DF,27,14.1,22,15,14,7,1,16,23,69.6,7,15,8,7,16,38,58,1,Matches,Minnesota United
Devin Padelford,USA,DF,21,13.0,25,17,16,8,1,18,27,66.7,9,11,0,11,24,49,45,0,Matches,Minnesota United
Hassani Dotson,USA,MF,26,12.8,19,12,6,10,3,8,13,61.5,5,14,1,13,12,31,23,0,Matches,Minnesota United
Bongokuhle Hlongwane,RSA,FW,24,11.6,17,8,4,10,3,5,11,45.5,6,18,6,12,5,22,9,0,Matches,Minnesota United
Caden Clark,USA,DF,21,10.0,24,16,11,9,4,11,21,52.4,10,20,3,17,12,36,12,1,Matches,Minnesota United
Teemu Pukki,FIN,FW,34,8.7,4,0,0,2,2,2,8,25.0,6,14,2,12,2,6,2,0,Matches,Minnesota United
Kervin Arriaga,HON,DF,26,9.8,16,14,11,5,0,9,17,52.9,8,14,7,7,9,25,40,0,Matches,Minnesota United
Tani Oluwaseyi,CAN,FW,24,6.9,6,4,2,2,2,1,5,20.0,4,9,3,6,3,9,5,0,Matches,Minnesota United
Franco Fragapane,ARG,MF,31,6.7,9,5,1,6,2,3,7,42.9,4,2,0,2,2,11,2,0,Matches,Minnesota United
Clint Irwin,USA,GK,35,5.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,5,0,Matches,Minnesota United
Alejandro Bran,CRC,MF,23,3.1,3,2,0,3,0,1,3,33.3,2,4,1,3,4,7,2,0,Matches,Minnesota United
Carlos Harvey,PAN,MF,24,2.4,7,5,1,4,2,2,6,33.3,4,1,1,0,2,9,3,0,Matches,Minnesota United
Victor Eriksson,SWE,DF,23,1.8,1,1,1,0,0,0,0,,0,0,0,0,0,1,7,1,Matches,Minnesota United
Jordan Adebayo-Smith,NGA,FW,24,2.7,5,3,5,0,0,0,1,0.0,1,4,0,4,1,6,1,0,Matches,Minnesota United
Moses Nyeman,USA,MF,20,1.5,4,1,2,2,0,1,4,25.0,3,3,0,3,4,8,1,0,Matches,Minnesota United
Hugo Bacharach,ESP,DF,22,1.0,2,1,0,2,0,1,2,50.0,1,0,0,0,3,5,2,0,Matches,Minnesota United
Alec Smir,USA,GK,25,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,Minnesota United
Morris Duggan,GER,DF,23,0.5,0,0,0,0,0,0,0,,0,1,1,0,1,1,3,0,Matches,Minnesota United
Loïc Mesanvi,TOG,FW,20,0.5,1,1,0,0,1,0,0,,0,2,0,2,0,1,1,0,Matches,Minnesota United
Zarek Valentin,PUR,DF,32,0.4,0,0,0,0,0,0,0,,0,1,0,1,0,0,3,0,Matches,Minnesota United
Patrick Weah,LBR,FW,20,0.4,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,Matches,Minnesota United
Emanuel Reynoso,ARG,MF,28,0.3,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0,Matches,Minnesota United
Kage Romanshyn,USA,FW,19,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,Minnesota United
Rory O'Driscoll,USA,FW,24,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,Minnesota United
Maya Yoshida,JPN,DF,35,22.0,15,9,8,6,1,8,16,50.0,8,30,22,8,28,43,93,2,Matches,LA Galaxy
Miki Yamane,JPN,DF,30,20.7,31,22,20,10,1,18,35,51.4,17,21,6,15,19,50,61,2,Matches,LA Galaxy
John McCarthy,USA,GK,32,20.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,10,3,Matches,LA Galaxy
Marky Delgado,USA,MF,29,19.8,48,30,21,18,9,24,47,51.1,23,33,7,26,23,71,24,2,Matches,LA Galaxy
Julián Aude,ARG,DF,21,18.0,48,29,32,14,2,32,60,53.3,28,31,7,24,20,68,61,1,Matches,LA Galaxy
Gabriel Chaves,BRA,FW,23,18.3,29,20,15,11,3,9,24,37.5,15,21,2,19,15,44,5,0,Matches,LA Galaxy
Riqui Puig,ESP,MF,24,17.2,13,10,8,4,1,4,22,18.2,18,11,2,9,9,22,2,1,Matches,LA Galaxy
Dejan Joveljić,SRB,FW,24,15.8,7,6,3,1,3,4,8,50.0,4,7,0,7,1,8,17,0,Matches,LA Galaxy
Joseph Paintsil,GHA,FW,26,15.1,9,5,4,2,3,1,5,20.0,4,12,2,10,5,14,5,0,Matches,LA Galaxy
Edwin Cerrillo,USA,MF,23,15.1,21,14,13,6,2,11,24,45.8,13,20,8,12,9,30,17,1,Matches,LA Galaxy
Diego Fagúndez,URU,FW,29,12.6,13,6,7,3,3,5,14,35.7,9,10,1,9,3,16,7,0,Matches,LA Galaxy
Martín Cáceres,URU,DF,37,9.7,9,5,8,0,1,5,7,71.4,2,9,7,2,7,16,36,0,Matches,LA Galaxy
Gastón Brugman,URU,MF,31,9.5,28,15,15,9,4,17,24,70.8,7,17,9,8,26,54,18,0,Matches,LA Galaxy
Jalen Neal,USA,DF,20,9.4,14,8,7,7,0,7,11,63.6,4,11,9,2,11,25,33,1,Matches,LA Galaxy
