Player,Nation,POS,Age,90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Team
Darren Yapi,USA,FW,19,5.1,8.0,1.58,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Colorado Rapids
Lalas Abubakar,GHA,DF,29,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Colorado Rapids
Sebastian Anderson,USA,DF,21,2.5,2.0,0.79,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Colorado Rapids
Jackson Travis,USA,DF,20,1.7,3.0,1.8,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Colorado Rapids
Jasper Löffelsend,GER,MF,26,2.2,2.0,0.91,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.45,1.0,0.0,0.0,0.0,0.0,0.0,Colorado Rapids
Jonathan Lewis,USA,FW,27,1.6,8.0,4.86,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Colorado Rapids
Kimani Stewart-Baynes,CAN,MF,19,0.7,1.0,1.48,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.48,1.0,0.0,0.0,0.0,0.0,0.0,Colorado Rapids
Lamine Diack,SEN,FW,23,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Colorado Rapids
Michael Edwards,USA,DF,23,0.1,1.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Colorado Rapids
Wayne Frederick,TRI,MF,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Colorado Rapids
Juan David Mosquera,COL,DF,21,16.0,37.0,2.31,33.0,0.0,3.0,1.0,0.0,0.0,5.0,0.31,4.0,0.0,1.0,0.0,0.0,0.0,Portland Timbers
Kamal Miller,CAN,DF,27,15.0,2.0,0.13,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.13,2.0,0.0,0.0,0.0,0.0,0.0,Portland Timbers
Diego Chará,COL,MF,38,13.8,20.0,1.45,16.0,0.0,0.0,0.0,3.0,1.0,2.0,0.15,2.0,0.0,0.0,0.0,0.0,0.0,Portland Timbers
Santiago Moreno,COL,FW,24,13.5,55.0,4.07,38.0,5.0,4.0,4.0,1.0,3.0,7.0,0.52,6.0,0.0,1.0,0.0,0.0,0.0,Portland Timbers
Antony,BRA,FW,22,12.9,33.0,2.56,24.0,1.0,5.0,1.0,2.0,0.0,5.0,0.39,4.0,0.0,0.0,0.0,1.0,0.0,Portland Timbers
Evander,BRA,MF,26,13.4,63.0,4.71,29.0,21.0,3.0,4.0,6.0,0.0,9.0,0.67,6.0,2.0,0.0,0.0,1.0,0.0,Portland Timbers
Jonathan Rodríguez,URU,FW,30,13.1,27.0,2.06,19.0,1.0,4.0,2.0,1.0,0.0,7.0,0.54,5.0,0.0,1.0,0.0,1.0,0.0,Portland Timbers
Maxime Crépeau,CAN,GK,30,12.5,1.0,0.08,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Portland Timbers
Cristhian Paredes,PAR,MF,26,10.8,23.0,2.14,19.0,0.0,2.0,1.0,1.0,0.0,4.0,0.37,3.0,0.0,0.0,1.0,0.0,0.0,Portland Timbers
Dario Župarić,BIH,DF,32,10.3,8.0,0.78,6.0,0.0,0.0,1.0,1.0,0.0,1.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,Portland Timbers
Felipe Mora,CHI,FW,30,8.8,19.0,2.15,14.0,0.0,1.0,1.0,2.0,1.0,5.0,0.57,3.0,0.0,0.0,1.0,1.0,0.0,Portland Timbers
Eric Miller,USA,DF,31,9.3,8.0,0.86,6.0,1.0,0.0,1.0,0.0,0.0,2.0,0.22,2.0,0.0,0.0,0.0,0.0,0.0,Portland Timbers
Miguel Araujo,PER,DF,29,7.8,4.0,0.51,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Portland Timbers
Dairon Asprilla,COL,FW,32,7.4,13.0,1.76,9.0,0.0,1.0,1.0,2.0,0.0,3.0,0.41,3.0,0.0,0.0,0.0,0.0,0.0,Portland Timbers
