Player,Nation,POS,Age,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Unnamed: 27_level_0_Matches,Team
Serge Ngoma,USA,MF,18,0.2,11.0,1.0,4.0,3.0,4.0,0.0,11.0,1.0,0.0,0.0,1.0,100.0,6.0,35.0,0.0,0.0,0.0,0.0,3.0,1.0,7.0,1.0,Matches,New York Red Bulls
Ronald Donkor,MLI,FW,19,0.1,16.0,0.0,4.0,12.0,1.0,0.0,16.0,0.0,0.0,,0.0,,13.0,74.0,37.0,0.0,1.0,0.0,0.0,0.0,13.0,0.0,Matches,New York Red Bulls
Omar Valencia,PAN,MF,20,0.0,7.0,1.0,3.0,2.0,2.0,0.0,7.0,1.0,0.0,0.0,1.0,100.0,4.0,20.0,7.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,Matches,New York Red Bulls
Federico Bernardeschi,ITA,DF,30,14.9,951.0,22.0,123.0,311.0,535.0,96.0,949.0,95.0,45.0,47.4,45.0,47.4,567.0,4327.0,2042.0,73.0,47.0,42.0,47.0,28.0,661.0,170.0,Matches,Toronto FC
Deybi Flores,HON,MF,28,14.2,1022.0,44.0,313.0,638.0,90.0,10.0,1022.0,23.0,13.0,56.5,10.0,43.5,524.0,1808.0,704.0,3.0,8.0,0.0,12.0,9.0,712.0,10.0,Matches,Toronto FC
Kevin Long,IRL,DF,33,13.5,900.0,162.0,602.0,274.0,24.0,17.0,900.0,2.0,1.0,50.0,1.0,50.0,438.0,1794.0,849.0,3.0,3.0,1.0,5.0,2.0,565.0,2.0,Matches,Toronto FC
Alonso Coello,ESP,MF,24,11.6,941.0,29.0,243.0,596.0,111.0,6.0,941.0,19.0,12.0,63.2,5.0,26.3,513.0,1952.0,831.0,7.0,10.0,0.0,14.0,10.0,697.0,9.0,Matches,Toronto FC
Jonathan Osorio,CAN,MF,32,13.1,727.0,18.0,101.0,361.0,272.0,31.0,727.0,24.0,15.0,62.5,8.0,33.3,413.0,1688.0,832.0,24.0,18.0,6.0,21.0,13.0,531.0,61.0,Matches,Toronto FC
Nicksoen Gomis,FRA,DF,22,12.9,764.0,77.0,421.0,309.0,42.0,2.0,764.0,6.0,3.0,50.0,2.0,33.3,468.0,1791.0,869.0,7.0,7.0,1.0,11.0,8.0,526.0,12.0,Matches,Toronto FC
Raoul Petretta,ITA,DF,27,10.9,704.0,41.0,263.0,299.0,145.0,15.0,704.0,8.0,4.0,50.0,4.0,50.0,349.0,1335.0,522.0,9.0,10.0,1.0,16.0,11.0,465.0,35.0,Matches,Toronto FC
Sigurd Rosted,NOR,DF,29,12.4,715.0,58.0,342.0,304.0,70.0,8.0,715.0,1.0,0.0,0.0,1.0,100.0,381.0,1448.0,641.0,6.0,10.0,0.0,7.0,2.0,482.0,11.0,Matches,Toronto FC
Sean Johnson,USA,GK,35,12.0,479.0,395.0,475.0,4.0,0.0,0.0,479.0,0.0,0.0,,0.0,,247.0,1036.0,622.0,0.0,0.0,0.0,0.0,0.0,226.0,0.0,Matches,Toronto FC
Matthew Longstaff, ENG,MF,24,11.1,793.0,16.0,175.0,410.0,212.0,27.0,793.0,14.0,10.0,71.4,3.0,21.4,441.0,1593.0,773.0,17.0,10.0,4.0,13.0,5.0,586.0,53.0,Matches,Toronto FC
Prince Osei Owusu,GER,FW,27,10.2,304.0,16.0,29.0,152.0,125.0,40.0,304.0,17.0,9.0,52.9,8.0,47.1,153.0,731.0,260.0,12.0,4.0,3.0,31.0,12.0,204.0,42.0,Matches,Toronto FC
Tyrese Spicer,,DF,,9.4,464.0,21.0,119.0,175.0,184.0,30.0,464.0,34.0,14.0,41.2,18.0,52.9,238.0,1395.0,710.0,30.0,16.0,6.0,13.0,15.0,250.0,66.0,Matches,Toronto FC
Lorenzo Insigne,ITA,MF,33,6.8,545.0,4.0,63.0,271.0,218.0,28.0,544.0,25.0,12.0,48.0,13.0,52.0,329.0,1888.0,963.0,27.0,21.0,10.0,21.0,15.0,432.0,53.0,Matches,Toronto FC
Jahkeele Marshall-Rutty,CAN,DF,20,8.0,419.0,14.0,114.0,162.0,148.0,33.0,419.0,20.0,10.0,50.0,8.0,40.0,203.0,1205.0,466.0,14.0,9.0,6.0,9.0,5.0,239.0,52.0,Matches,Toronto FC
Deandre Kerr,CAN,FW,21,5.8,164.0,4.0,10.0,82.0,74.0,18.0,164.0,14.0,3.0,21.4,9.0,64.3,89.0,452.0,119.0,4.0,2.0,0.0,18.0,12.0,118.0,23.0,Matches,Toronto FC
Shane O'Neill,USA,DF,30,5.7,351.0,20.0,134.0,161.0,58.0,3.0,351.0,14.0,6.0,42.9,7.0,50.0,173.0,701.0,300.0,4.0,4.0,0.0,4.0,2.0,213.0,10.0,Matches,Toronto FC
Derrick Etienne,HAI,FW,27,6.2,311.0,5.0,45.0,138.0,134.0,25.0,311.0,19.0,8.0,42.1,10.0,52.6,183.0,863.0,419.0,13.0,6.0,3.0,16.0,9.0,239.0,43.0,Matches,Toronto FC
Luka Gavran,CAN,GK,24,6.0,196.0,169.0,194.0,2.0,0.0,0.0,196.0,0.0,0.0,,0.0,,90.0,394.0,256.0,0.0,0.0,0.0,1.0,0.0,94.0,0.0,Matches,Toronto FC
Kobe Franklin,CAN,DF,21,4.3,252.0,14.0,67.0,104.0,81.0,11.0,252.0,7.0,0.0,0.0,6.0,85.7,117.0,593.0,201.0,3.0,3.0,0.0,7.0,1.0,145.0,29.0,Matches,Toronto FC
Kosi Thompson,CAN,MF,21,4.4,286.0,18.0,88.0,138.0,62.0,6.0,286.0,5.0,1.0,20.0,3.0,60.0,150.0,676.0,364.0,7.0,10.0,1.0,10.0,6.0,185.0,17.0,Matches,Toronto FC
Aimé Mabika,ZAM,DF,25,2.4,113.0,14.0,53.0,52.0,8.0,2.0,113.0,2.0,1.0,50.0,1.0,50.0,50.0,236.0,131.0,0.0,0.0,0.0,2.0,0.0,60.0,1.0,Matches,Toronto FC
Richie Laryea,CAN,DF,29,0.9,46.0,3.0,7.0,17.0,24.0,5.0,46.0,4.0,1.0,25.0,3.0,75.0,17.0,145.0,91.0,5.0,4.0,1.0,4.0,1.0,29.0,12.0,Matches,Toronto FC
Ayo Akinola,CAN,FW,24,1.0,33.0,0.0,1.0,16.0,16.0,3.0,33.0,2.0,0.0,0.0,2.0,100.0,24.0,103.0,22.0,0.0,1.0,0.0,2.0,5.0,29.0,5.0,Matches,Toronto FC
Cassius Mailula,RSA,MF,23,0.2,18.0,0.0,3.0,5.0,10.0,3.0,18.0,2.0,1.0,50.0,1.0,50.0,12.0,53.0,16.0,1.0,0.0,1.0,2.0,0.0,13.0,5.0,Matches,Toronto FC
Charles Sharp,USA,FW,22,0.2,4.0,1.0,2.0,2.0,0.0,0.0,4.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Toronto FC
Kristijan Kahlina,CRO,GK,31,18.0,660.0,523.0,654.0,6.0,0.0,0.0,660.0,0.0,0.0,,0.0,,387.0,2066.0,1310.0,0.0,0.0,0.0,1.0,0.0,322.0,0.0,Matches,Charlotte FC
Andrew Privett,USA,DF,23,18.0,1225.0,174.0,651.0,539.0,47.0,16.0,1225.0,3.0,1.0,33.3,2.0,66.7,749.0,4166.0,2462.0,14.0,13.0,1.0,9.0,1.0,837.0,3.0,Matches,Charlotte FC
Ashley Westwood, ENG,MF,34,18.0,1210.0,53.0,275.0,729.0,216.0,4.0,1210.0,4.0,3.0,75.0,1.0,25.0,614.0,2806.0,1187.0,8.0,11.0,0.0,9.0,5.0,827.0,18.0,Matches,Charlotte FC
Kerwin Vargas,COL,FW,22,15.7,642.0,16.0,70.0,209.0,369.0,46.0,641.0,25.0,10.0,40.0,15.0,60.0,370.0,1935.0,919.0,28.0,22.0,12.0,30.0,9.0,450.0,142.0,Matches,Charlotte FC
Adilson Malanda,FRA,DF,22,16.0,997.0,138.0,538.0,443.0,22.0,7.0,997.0,5.0,5.0,100.0,0.0,0.0,536.0,2242.0,1219.0,3.0,3.0,0.0,4.0,3.0,642.0,3.0,Matches,Charlotte FC
Nathan Byrne, ENG,DF,32,15.0,899.0,47.0,250.0,487.0,165.0,6.0,899.0,4.0,3.0,75.0,0.0,0.0,443.0,2376.0,1493.0,39.0,11.0,3.0,11.0,7.0,547.0,43.0,Matches,Charlotte FC
Jere Uronen,FIN,DF,29,12.8,838.0,46.0,224.0,407.0,211.0,11.0,838.0,8.0,3.0,37.5,4.0,50.0,398.0,2011.0,1197.0,26.0,21.0,3.0,11.0,4.0,465.0,30.0,Matches,Charlotte FC
Patrick Agyemang,USA,FW,23,12.3,271.0,11.0,12.0,92.0,173.0,74.0,271.0,32.0,16.0,50.0,13.0,40.6,170.0,1192.0,532.0,28.0,20.0,19.0,42.0,23.0,202.0,59.0,Matches,Charlotte FC
Djibril Diani,FRA,MF,26,11.0,549.0,16.0,93.0,340.0,123.0,13.0,548.0,14.0,8.0,57.1,4.0,28.6,291.0,1653.0,718.0,18.0,9.0,0.0,15.0,3.0,355.0,34.0,Matches,Charlotte FC
Brecht Dejaegere,BEL,MF,33,9.6,392.0,11.0,35.0,166.0,195.0,27.0,392.0,23.0,11.0,47.8,11.0,47.8,228.0,1504.0,747.0,23.0,13.0,8.0,25.0,11.0,263.0,64.0,Matches,Charlotte FC
Liel Abada,ISR,FW,22,6.4,228.0,1.0,18.0,68.0,149.0,32.0,228.0,19.0,8.0,42.1,11.0,57.9,152.0,1234.0,717.0,33.0,14.0,15.0,10.0,22.0,167.0,53.0,Matches,Charlotte FC
Júnior Urso,BRA,MF,35,6.6,293.0,20.0,74.0,163.0,58.0,14.0,293.0,10.0,5.0,50.0,4.0,40.0,151.0,669.0,275.0,5.0,4.0,2.0,6.0,7.0,178.0,5.0,Matches,Charlotte FC
Iuri Tavares,CPV,FW,23,6.4,288.0,16.0,40.0,120.0,134.0,35.0,287.0,33.0,9.0,27.3,22.0,66.7,168.0,1106.0,534.0,21.0,14.0,11.0,23.0,10.0,182.0,60.0,Matches,Charlotte FC
Enzo Copetti,ARG,FW,28,5.5,162.0,4.0,9.0,64.0,91.0,21.0,162.0,9.0,4.0,44.4,5.0,55.6,83.0,398.0,183.0,8.0,3.0,4.0,11.0,3.0,114.0,18.0,Matches,Charlotte FC
Brandt Bronico,USA,MF,28,5.6,161.0,3.0,28.0,71.0,64.0,17.0,161.0,5.0,2.0,40.0,3.0,60.0,71.0,382.0,154.0,5.0,7.0,1.0,4.0,1.0,107.0,30.0,Matches,Charlotte FC
João Pedro,BRA,DF,21,4.9,346.0,18.0,95.0,175.0,79.0,2.0,346.0,5.0,3.0,60.0,2.0,40.0,171.0,922.0,462.0,11.0,7.0,1.0,4.0,4.0,200.0,18.0,Matches,Charlotte FC
Nikola Petković,SRB,MF,21,4.7,179.0,3.0,17.0,99.0,64.0,9.0,179.0,3.0,3.0,100.0,0.0,0.0,101.0,570.0,262.0,8.0,9.0,2.0,9.0,4.0,124.0,31.0,Matches,Charlotte FC
Scott Arfield,CAN,MF,35,3.7,138.0,4.0,16.0,60.0,64.0,13.0,138.0,7.0,3.0,42.9,4.0,57.1,81.0,322.0,151.0,3.0,3.0,0.0,8.0,1.0,91.0,19.0,Matches,Charlotte FC
Jaylin Lindsey,USA,DF,24,3.3,289.0,18.0,71.0,157.0,63.0,3.0,289.0,9.0,5.0,55.6,3.0,33.3,156.0,713.0,369.0,11.0,5.0,0.0,3.0,2.0,155.0,15.0,Matches,Charlotte FC
Bill Tuiloma,NZL,DF,29,2.0,153.0,12.0,75.0,76.0,3.0,1.0,153.0,0.0,0.0,,0.0,,114.0,363.0,205.0,0.0,0.0,0.0,1.0,0.0,112.0,1.0,Matches,Charlotte FC
Tyger Smalls,,FW,,2.0,89.0,2.0,16.0,35.0,39.0,8.0,89.0,7.0,4.0,57.1,3.0,42.9,41.0,327.0,163.0,7.0,3.0,2.0,9.0,2.0,45.0,19.0,Matches,Charlotte FC
Nimfasha Berchimas,USA,FW,16,0.3,18.0,0.0,3.0,7.0,8.0,0.0,18.0,3.0,0.0,0.0,3.0,100.0,11.0,55.0,12.0,0.0,1.0,0.0,3.0,3.0,11.0,5.0,Matches,Charlotte FC
Ben Bender,USA,MF,23,0.2,7.0,0.0,0.0,3.0,4.0,3.0,7.0,0.0,0.0,,0.0,,4.0,14.0,9.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,Matches,Charlotte FC
Kai Wagner,GER,DF,27,15.6,1108.0,51.0,291.0,468.0,356.0,18.0,1108.0,4.0,1.0,25.0,3.0,75.0,547.0,2309.0,873.0,19.0,18.0,2.0,13.0,3.0,595.0,95.0,Matches,Philadelphia Union
Nathan Harriel,USA,DF,23,14.9,866.0,65.0,247.0,387.0,236.0,32.0,866.0,16.0,5.0,31.3,7.0,43.8,346.0,1622.0,724.0,20.0,17.0,5.0,14.0,3.0,416.0,58.0,Matches,Philadelphia Union
Quinn Sullivan,USA,MF,20,14.9,632.0,7.0,65.0,232.0,345.0,57.0,632.0,33.0,15.0,45.5,17.0,51.5,380.0,2852.0,1486.0,69.0,31.0,22.0,37.0,9.0,431.0,127.0,Matches,Philadelphia Union
Jack McGlynn,USA,MF,20,14.8,1115.0,19.0,204.0,622.0,302.0,13.0,1115.0,18.0,7.0,38.9,10.0,55.6,744.0,3427.0,1707.0,31.0,19.0,3.0,15.0,13.0,833.0,39.0,Matches,Philadelphia Union
Dániel Gazdag,HUN,MF,28,14.4,643.0,5.0,63.0,332.0,260.0,43.0,639.0,13.0,7.0,53.8,6.0,46.2,432.0,2161.0,1102.0,30.0,28.0,5.0,23.0,12.0,480.0,62.0,Matches,Philadelphia Union
Jakob Glesnes,NOR,DF,30,14.4,781.0,91.0,356.0,392.0,39.0,15.0,781.0,5.0,4.0,80.0,1.0,20.0,423.0,2970.0,1991.0,13.0,5.0,0.0,5.0,0.0,453.0,2.0,Matches,Philadelphia Union
Oliver Semmle,GER,GK,26,13.6,402.0,316.0,400.0,2.0,0.0,0.0,402.0,0.0,0.0,,0.0,,203.0,1293.0,811.0,0.0,0.0,0.0,0.0,0.0,140.0,0.0,Matches,Philadelphia Union
Mikael Uhre,DEN,FW,29,11.9,336.0,13.0,24.0,115.0,198.0,59.0,336.0,15.0,2.0,13.3,12.0,80.0,179.0,1134.0,529.0,25.0,11.0,10.0,27.0,8.0,225.0,72.0,Matches,Philadelphia Union
Jack Elliott, ENG,DF,28,11.3,624.0,80.0,364.0,243.0,22.0,8.0,624.0,2.0,1.0,50.0,1.0,50.0,357.0,1461.0,764.0,4.0,5.0,0.0,8.0,0.0,373.0,1.0,Matches,Philadelphia Union
Julián Carranza,ARG,FW,24,11.9,454.0,20.0,44.0,207.0,211.0,69.0,454.0,12.0,2.0,16.7,9.0,75.0,263.0,1019.0,313.0,11.0,10.0,8.0,41.0,16.0,332.0,65.0,Matches,Philadelphia Union
José Andrés Martínez,VEN,MF,29,9.3,557.0,17.0,135.0,330.0,100.0,9.0,557.0,16.0,9.0,56.3,7.0,43.8,303.0,1426.0,658.0,11.0,11.0,1.0,20.0,6.0,340.0,10.0,Matches,Philadelphia Union
Damion Lowe,JAM,DF,31,8.0,490.0,58.0,258.0,207.0,30.0,10.0,490.0,4.0,1.0,25.0,3.0,75.0,234.0,994.0,455.0,3.0,3.0,0.0,4.0,2.0,260.0,2.0,Matches,Philadelphia Union
Alejandro Bedoya,USA,MF,37,10.4,584.0,14.0,93.0,298.0,194.0,53.0,584.0,6.0,4.0,66.7,2.0,33.3,315.0,1419.0,710.0,11.0,5.0,1.0,6.0,4.0,393.0,61.0,Matches,Philadelphia Union
Leon Flach,USA,MF,23,6.1,258.0,11.0,70.0,155.0,35.0,3.0,258.0,3.0,2.0,66.7,1.0,33.3,113.0,456.0,191.0,4.0,4.0,1.0,6.0,6.0,137.0,4.0,Matches,Philadelphia Union
Olivier Mbaizo,CMR,DF,26,4.4,236.0,13.0,63.0,92.0,81.0,2.0,236.0,4.0,2.0,50.0,2.0,50.0,106.0,397.0,158.0,4.0,4.0,1.0,4.0,1.0,129.0,23.0,Matches,Philadelphia Union
Andre Blake,JAM,GK,33,3.4,77.0,70.0,75.0,2.0,0.0,0.0,77.0,0.0,0.0,,0.0,,47.0,249.0,132.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,Matches,Philadelphia Union
Jeremy Rafanello,USA,MF,24,2.3,92.0,3.0,20.0,49.0,24.0,2.0,92.0,3.0,1.0,33.3,1.0,33.3,52.0,247.0,109.0,1.0,2.0,0.0,4.0,1.0,61.0,6.0,Matches,Philadelphia Union
Jesús Daniel Bueno,VEN,MF,25,2.0,122.0,1.0,27.0,65.0,31.0,4.0,122.0,3.0,2.0,66.7,1.0,33.3,74.0,395.0,212.0,3.0,3.0,0.0,4.0,2.0,84.0,10.0,Matches,Philadelphia Union
Markus Anderson,USA,MF,20,1.1,27.0,0.0,11.0,6.0,10.0,5.0,27.0,2.0,2.0,100.0,0.0,0.0,13.0,76.0,58.0,3.0,2.0,2.0,3.0,1.0,15.0,5.0,Matches,Philadelphia Union
Christopher Donovan,USA,MF,23,1.5,77.0,0.0,4.0,37.0,37.0,15.0,77.0,6.0,2.0,33.3,4.0,66.7,39.0,237.0,85.0,3.0,4.0,2.0,4.0,2.0,56.0,13.0,Matches,Philadelphia Union
Thai Baribo,ISR,DF,26,0.3,17.0,0.0,0.0,8.0,9.0,2.0,17.0,1.0,0.0,0.0,1.0,100.0,9.0,21.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,3.0,Matches,Philadelphia Union
Alex Bono,USA,GK,30,18.0,720.0,501.0,689.0,31.0,0.0,0.0,720.0,1.0,0.0,0.0,1.0,100.0,403.0,2151.0,1030.0,0.0,0.0,0.0,1.0,0.0,281.0,0.0,Matches,DC United
Lucas Bartlett,USA,DF,26,17.6,1046.0,119.0,462.0,540.0,51.0,27.0,1046.0,2.0,1.0,50.0,1.0,50.0,536.0,2703.0,1487.0,9.0,5.0,1.0,11.0,4.0,588.0,8.0,Matches,DC United
Jared Stroud,USA,FW,27,15.6,668.0,11.0,76.0,238.0,362.0,74.0,668.0,31.0,12.0,38.7,16.0,51.6,447.0,2686.0,1151.0,48.0,22.0,9.0,29.0,26.0,486.0,169.0,Matches,DC United
Mateusz Klich,POL,MF,34,16.6,1047.0,14.0,116.0,543.0,402.0,20.0,1045.0,23.0,11.0,47.8,11.0,47.8,547.0,2340.0,1001.0,21.0,17.0,2.0,20.0,16.0,621.0,56.0,Matches,DC United
Christian Benteke,BEL,FW,33,15.5,575.0,21.0,29.0,268.0,280.0,96.0,574.0,15.0,8.0,53.3,7.0,46.7,253.0,977.0,352.0,8.0,10.0,6.0,29.0,11.0,476.0,66.0,Matches,DC United
Aaron Herrera,GUA,DF,27,15.0,946.0,63.0,235.0,421.0,300.0,21.0,946.0,30.0,18.0,60.0,11.0,36.7,477.0,2716.0,1308.0,36.0,26.0,6.0,18.0,9.0,516.0,75.0,Matches,DC United
Cristián Dajome,COL,FW,30,14.1,574.0,23.0,105.0,236.0,244.0,40.0,574.0,28.0,7.0,25.0,17.0,60.7,307.0,1649.0,715.0,29.0,20.0,8.0,26.0,22.0,320.0,77.0,Matches,DC United
Christopher McVey,SWE,DF,27,14.1,758.0,65.0,319.0,404.0,43.0,12.0,758.0,2.0,2.0,100.0,0.0,0.0,387.0,1607.0,836.0,10.0,5.0,0.0,6.0,0.0,390.0,11.0,Matches,DC United
Matti Peltola,FIN,MF,21,12.5,609.0,27.0,151.0,367.0,97.0,3.0,609.0,11.0,5.0,45.5,2.0,18.2,326.0,1282.0,595.0,4.0,13.0,0.0,6.0,6.0,352.0,2.0,Matches,DC United
Jackson Hopkins,USA,MF,19,10.4,469.0,22.0,90.0,295.0,87.0,5.0,469.0,12.0,6.0,50.0,4.0,33.3,250.0,1426.0,660.0,15.0,17.0,3.0,12.0,14.0,286.0,9.0,Matches,DC United
Theodore Ku-Dipietro,USA,MF,22,9.4,359.0,1.0,34.0,143.0,196.0,56.0,359.0,29.0,14.0,48.3,15.0,51.7,219.0,1288.0,659.0,21.0,19.0,8.0,29.0,13.0,251.0,59.0,Matches,DC United
Pedro Santos,POR,DF,36,8.2,569.0,27.0,142.0,253.0,179.0,12.0,569.0,9.0,3.0,33.3,6.0,66.7,270.0,1283.0,522.0,13.0,10.0,0.0,8.0,5.0,295.0,45.0,Matches,DC United
Gabriel Pirani,BRA,MF,22,7.7,324.0,2.0,27.0,128.0,178.0,36.0,324.0,18.0,7.0,38.9,10.0,55.6,197.0,1008.0,492.0,17.0,13.0,10.0,23.0,13.0,224.0,52.0,Matches,DC United
Conner Antley,USA,DF,29,4.8,263.0,19.0,110.0,123.0,38.0,6.0,263.0,6.0,4.0,66.7,2.0,33.3,115.0,594.0,347.0,3.0,7.0,1.0,5.0,1.0,101.0,3.0,Matches,DC United
Steve Birnbaum,USA,DF,33,3.8,204.0,15.0,92.0,101.0,11.0,9.0,204.0,1.0,1.0,100.0,0.0,0.0,90.0,334.0,167.0,2.0,0.0,0.0,1.0,1.0,117.0,2.0,Matches,DC United
Jacob Murrell,USA,FW,20,4.8,128.0,6.0,17.0,45.0,67.0,17.0,128.0,4.0,0.0,0.0,3.0,75.0,74.0,341.0,136.0,4.0,2.0,1.0,7.0,10.0,88.0,23.0,Matches,DC United
Garrison Tubbs,USA,DF,22,2.6,176.0,13.0,66.0,101.0,10.0,3.0,176.0,1.0,0.0,0.0,1.0,100.0,100.0,435.0,211.0,0.0,1.0,0.0,1.0,1.0,108.0,1.0,Matches,DC United
Matai Akinmboni,USA,DF,17,2.4,136.0,15.0,62.0,63.0,11.0,0.0,136.0,0.0,0.0,,0.0,,72.0,246.0,148.0,1.0,1.0,0.0,0.0,0.0,73.0,1.0,Matches,DC United
Kristian Fletcher,USA,FW,18,2.7,183.0,3.0,22.0,79.0,84.0,13.0,183.0,23.0,8.0,34.8,15.0,65.2,125.0,694.0,272.0,7.0,8.0,4.0,20.0,8.0,131.0,43.0,Matches,DC United
Martín Rodríguez,CHI,MF,29,1.8,161.0,2.0,15.0,99.0,47.0,2.0,161.0,5.0,0.0,0.0,5.0,100.0,106.0,545.0,246.0,4.0,3.0,0.0,4.0,4.0,109.0,12.0,Matches,DC United
Mohanad Jeahze,IRQ,MF,27,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,DC United
Iván Angulo,COL,FW,25,15.5,817.0,9.0,126.0,325.0,377.0,61.0,817.0,66.0,33.0,50.0,32.0,48.5,542.0,3098.0,1554.0,55.0,32.0,26.0,29.0,17.0,613.0,130.0,Matches,Orlando City
Pedro Gallese,PER,GK,34,15.0,423.0,363.0,422.0,1.0,0.0,0.0,423.0,1.0,1.0,100.0,0.0,0.0,193.0,1038.0,694.0,0.0,0.0,0.0,0.0,0.0,159.0,0.0,Matches,Orlando City
Dagur Dan Þórhallsson,ISL,DF,24,13.5,750.0,33.0,206.0,300.0,256.0,27.0,750.0,35.0,19.0,54.3,14.0,40.0,361.0,2257.0,1193.0,43.0,30.0,10.0,11.0,3.0,441.0,62.0,Matches,Orlando City
Facundo Torres,URU,FW,24,13.6,816.0,10.0,92.0,340.0,386.0,58.0,814.0,25.0,12.0,48.0,12.0,48.0,505.0,1973.0,811.0,24.0,18.0,6.0,28.0,20.0,638.0,148.0,Matches,Orlando City
Robin Jansson,SWE,DF,32,12.7,858.0,92.0,452.0,377.0,32.0,5.0,858.0,2.0,2.0,100.0,0.0,0.0,456.0,1974.0,947.0,4.0,6.0,0.0,6.0,1.0,582.0,3.0,Matches,Orlando City
César Araujo,URU,MF,23,12.1,766.0,22.0,177.0,461.0,135.0,3.0,766.0,14.0,7.0,50.0,4.0,28.6,390.0,1673.0,811.0,13.0,18.0,1.0,8.0,13.0,525.0,7.0,Matches,Orlando City
Nicolás Lodeiro,URU,MF,35,13.3,1212.0,14.0,163.0,614.0,438.0,37.0,1212.0,11.0,3.0,27.3,6.0,54.5,640.0,2667.0,1084.0,21.0,13.0,3.0,18.0,11.0,889.0,60.0,Matches,Orlando City
Wilder Cartagena,PER,DF,29,11.6,737.0,78.0,287.0,364.0,89.0,9.0,737.0,5.0,3.0,60.0,2.0,40.0,371.0,1455.0,710.0,5.0,8.0,0.0,9.0,4.0,495.0,6.0,Matches,Orlando City
Duncan McGuire,USA,FW,23,10.2,310.0,12.0,26.0,127.0,160.0,54.0,310.0,13.0,3.0,23.1,10.0,76.9,168.0,553.0,226.0,7.0,2.0,2.0,29.0,9.0,248.0,53.0,Matches,Orlando City
Luis Muriel,COL,FW,33,11.8,578.0,5.0,35.0,209.0,346.0,50.0,578.0,66.0,33.0,50.0,30.0,45.5,372.0,2579.0,1307.0,49.0,43.0,13.0,39.0,23.0,458.0,97.0,Matches,Orlando City
David Brekalo,SVN,DF,25,10.7,623.0,67.0,281.0,314.0,32.0,11.0,623.0,5.0,4.0,80.0,1.0,20.0,313.0,1494.0,920.0,8.0,4.0,0.0,3.0,1.0,408.0,2.0,Matches,Orlando City
Rodrigo Schlegel,ARG,DF,27,10.1,690.0,61.0,277.0,365.0,51.0,16.0,690.0,2.0,0.0,0.0,2.0,100.0,351.0,1551.0,884.0,5.0,7.0,1.0,4.0,3.0,447.0,3.0,Matches,Orlando City
Rafael Santos,BRA,DF,26,9.7,830.0,24.0,215.0,361.0,266.0,4.0,830.0,11.0,4.0,36.4,6.0,54.5,471.0,2184.0,1279.0,26.0,25.0,0.0,17.0,2.0,568.0,58.0,Matches,Orlando City
Martín Ojeda,ARG,MF,25,9.6,558.0,8.0,52.0,233.0,279.0,36.0,558.0,17.0,4.0,23.5,11.0,64.7,274.0,1382.0,533.0,13.0,9.0,0.0,22.0,8.0,387.0,89.0,Matches,Orlando City
Kyle Smith,USA,DF,32,5.8,421.0,30.0,136.0,205.0,83.0,3.0,421.0,4.0,2.0,50.0,2.0,50.0,175.0,566.0,235.0,2.0,1.0,0.0,9.0,3.0,263.0,14.0,Matches,Orlando City
Jack Lynn,USA,FW,24,2.7,85.0,2.0,10.0,38.0,37.0,11.0,85.0,3.0,1.0,33.3,2.0,66.7,41.0,206.0,35.0,2.0,1.0,0.0,6.0,6.0,55.0,14.0,Matches,Orlando City
Felipe,BRA,MF,33,2.5,142.0,5.0,33.0,93.0,18.0,1.0,142.0,1.0,0.0,0.0,1.0,100.0,60.0,230.0,99.0,1.0,1.0,0.0,1.0,3.0,92.0,1.0,Matches,Orlando City
Mason Stajduhar,USA,GK,26,2.0,36.0,30.0,36.0,0.0,0.0,0.0,36.0,0.0,0.0,,0.0,,18.0,96.0,71.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,Matches,Orlando City
Ramiro Enrique,ARG,FW,23,2.6,87.0,2.0,4.0,36.0,50.0,20.0,87.0,12.0,7.0,58.3,2.0,16.7,62.0,559.0,377.0,15.0,8.0,5.0,1.0,3.0,76.0,28.0,Matches,Orlando City
Michael Halliday,USA,DF,21,1.0,75.0,2.0,20.0,28.0,27.0,5.0,75.0,3.0,0.0,0.0,3.0,100.0,27.0,141.0,70.0,2.0,0.0,0.0,3.0,1.0,37.0,12.0,Matches,Orlando City
